Recipe Name,Dish Type,Number of Servings,Ingredients,Instructions,Original Recipe,Allowed Sides,Number of sides,Flags,,,,,,,,,,,,,,,,,,
Potatos,Side,,,,,,,veggie,,,,,,,,,,,,,,,,,,
Impossible Nachos,Main,2,"3-4 Handfuls of chips, Cheddar Cheese, Monterey Jack cheese, 1 package of impossible spicy sausage, 2 roma tomatoes, 1/2 onion or onion powder, 2 cloves garlic or garlic powder, 1-2 jalapenos, black beans, 1 avocado, lemon, chili powder","(1) Lightly cook impossible meat, chop tomatoes, onions, jalapenos, and grate cheese. (2) on an oven sheet put chips, small layer of cheese, then add beans and meat, onions, garlic, jalapenos and tomatoes, and finally top with cheese. (3) bake at 350-400 for 15 minutes and then broil for 5. (4) mash avocado, add lemon, chili powder, garlic and onions and serve on top of nachos",,,,"veggie, spicy:mild+",,,,,,,,,,,,,,,,,,
Impossible Red Sauce Pasta,Main,"1,2","Pasta, 1-2tbsp unsalted butter, heavy whipping cream, parmesan, red sauce, 1tbsp tomato paste, 1/2 tube of Impossible Sausage","(1) Under cook pasta by 1 minute. Cook Impossible Sausage (2) strain pasta and then melt butter in pasta, add heavy whipping cream and parmesan. (3) add red sauce and tomato paste and Impossible Sausage",,,0,"veggie, quick and easy",,
Brie Pasta Bake,Main,4,"Pasta, 2tsp olive oil, 200g bacon or pancetta, 1 onion, 50g butter, 40g flour, 600ml milk, brie (small wheel), Jalapenos (optional)","(1) Preheat oven to 425 degrees. (2) Cut bacon into small pieces and finely chop the onion. Cook pasta until al dente. Meanwhile, fry bacon and onion in a saucepan until mostly cooked (everything will be finished in the oven).(3) Make a roux by first adding butter to a pan. Then mix in flour, cook for 30 seconds and gradually add in milk. Reduce the heat to low and cook for 5 minutes.(4) Cut the rind of the brie and cut brie into small cubes. Add 2/3 to the roux and stir until combined. Season with salt and pepper.(5) Add the pasta and brie sauce to a baking pan. Mix in bacon and jalapenos and add remaining brie on top. Cook for about 20 minutes, or until the top is golden brown.", https://www.delicious.com.au/recipes/pancetta-taleggio-pasta-bake/58c60000-57b9-40f6-8b0f-348f9c937d27?r=recipes/collections/ubw3632e,,,veggie,,
Creamy Lemon Chicken,Main,"2,3","2 chicken breasts, olive oil, 1large lemon, bone broth, 1/2 onion, garlic, rosemary, 1/4cup heavy cream (about), butter, pasta/rice/potatoes for serving (optional)","(1) Pound chicken breast to equal thickness (if making a quick dinner, cut into similar size pieces). (2) In a skillet, heat oil to medium-high heat and add chicken. Flip occasionally and remove when 75% cooked. (3) Turn skillet down and add onion. Sweat for a few minutes. (4) Zest lemon, and add zest to the skillet as well as the lemon juice. Add butter and scrape up browned bits from pan. (5) Add heavy cream and a little bone broth. Add garlic and rosemary (measure with your heart). (6) Add lemon slices and simmer sauce for 8-10 minutes or until reduced and saucy. (7) Add chicken back to the pan and finish cooking.", https://www.twopeasandtheirpod.com/skillet-creamy-lemon-rosemary-chicken/,,"0,1",,,,,,,
Green Curry,Main,4,"Chicken or veggies, 1-2tbps green curry paste, 1 onion, 1 can coconut milk, tumeric, ginger, rice, green onions, lime, cilantro","(1) Start rice and season chicken with tumeric, ginger, garlic, salt and pepper. (2)In a pan, add the chicken and diced onion (if making veggie version add chopped veggies of choice). Cook unitl 75% done. (3) Remove chicken and place aside. In the same pan, add more garlic, coconut milk and green curry powder. Combine. To taste, add more tumeric and ginger. Let simmer for 3-5 minutes. (4) Return chicken to pan and continue simmering until the chicken is done cooking. (5) Serve over rice and top with lime juice, chopped green onions, and cilantro.",,,0,quick and easy 
Golden Calf Smoothie,Drink,"1","Oat or Almond milk, Pineapple, Banana, Honey, Ginger, Turmeric, Cardamom, Black pepper","(1) IDK eye ball it or something",,,"0",veggie,,,,,,,,,,,,,,,,,,
Drunken Noodles,Main,2,"6tbps soy sauce, 1.5tbps rice vinegar, 1tbps Oyster Sauce, 1tbps sesame oil, 10oz rice noodles, 1 medium onion, 1 bell pepper, 1 head brocolli, bok choy, 4 cloves garlic, 2 jalapeno, basil, 14oz extra firm tofu","(1) idk fucking wing it",https://www.tablefortwoblog.com/drunken-noodles-with-tofu/,,,"veggie,spicy:mild+"
Gochujang Tofu,Main,2,"1-2tbps Gochunang spice, 1tbps soy sauce, 2tbps rice vinegar, 2tbps Sesame oil, Mirin wine? idk couldnt find it last time, ketchup?, 1 Medium Onion, 1-1.5 Tomatos, 3-4 Garlic, rice/rice noodles, broccoli","(1) freeze press and dry tofu, then coat with olive oil and flour corn or potato starch and bake at ? for 15 minutes until lightly browned (2) food process onion tomato and garlic, put on medium heat and add liquids and add Gochunang spice (3) cook other things (4) do what ever",https://sarahsvegankitchen.com/recipes/gochujang-tofu/,,,"veggie:vegan"
Vegan Gyoza,Main,3,"3cups Chopped Cabbage, 4 Green Onions,2-3 cloves garlic, 1tbps ginger, 12-16oz Plant based meat: Impossible or beyond beef or Omni Pork, 1tsp Sesame oil, 1.5tsb soy sauce, 1tsp Agave nectar, 3tbsp Silken Tofu (or nagaimo or any egg substitute), Black Pepper, 48-50 Gyoza Wrappers","(1) Optional making wrappers from scratch: Combine 405g AP flour, 3/4tsb salt and 3/4-1 cup warm water and mix until soft. The do thing in video to make wrappers. (2) Mix cabbage and salt in a mixing bowl and let it sit for 10 minutes. This will help cabbage to release it's moisture. Meanwhile, chop 3 green onions. (3) Place salted cabbage on a clean kitchen towel and squeeze all of its moisture. Place cabbage in a large mixing bowl along with green onions, garlic, ginger, plant based meat, sesame oil, soy sauce, agave nectar, silken tofu blended with a small amount of water (or grated ma (nagaimo)) and black pepper. Mix everything well together. (4) Bring one gyoza wrapper at a time on your palm and slightly wet edge with water. Place 2 to 3 tsp filling in middle, fold as a half moon shape. Seal by folding one side of wrapper 1/4 inch then press edges together and repeat until gyoza is completely sealed. Place on a baking pan or any clean flat work surface and repeat until you are done with wrappers and filling. (5) Heat a 8 to 9 inch skillet over medium high heat, add cooking oil to cover bottom of skillet. Place 8 to 10 gyoza. Quickly mix 2/3 cup of cold water and 2 tsp all purpose flour in a mixing bowl and pour into skillet. Cover immediately and let it cook until it's fully cooked and most of moisture's evaporated, about 5 to 6 minutes. (6) While gyoza is cooking, go ahead and make dipping sauce! You can make any of your favorite style dipping sauces, and today I decided to make miso dipping sauce. Just mix miso, soy sauce, rice vinegar, sesame or chili oil, agave nectar and chopped green onion in a mixing bowl and it's done! Carefully place gyoza on a plate and serve with miso dipping sauce. Enjoy!",https://seonkyounglongest.com/vegan-gyoza/,,,"veggie:vegan"
Ian's Madras Dal,Main,4,"1.75tsp coriander, 1.25tsp cumin, 1.5tsp paprika, 1.5tsp turmeric, 1tsp garam masala, 1tsp cayenne (-1/2 for less spicy), 1/4tsp black pepper, 1tsp kasoor methi (dried fenugreek leaves can omit if you cant find), 1.5tsp kosher salt, 3/4tsp cinnamon, 4-6tbsp oil, 1 jumbo yellow Onion, 2 serrano peppers, 4-5 cloves garlic (don't be afraid), 2-3tbsp minced fresh ginger (Measure with you heart and don't be afraid), 1cup dried red lentils, 3-4tbsp tomato paste or 9tbsp tomato sauce (plus more as needed add with water), 10oz unsweetened coconut milk, 1/2-1 lemon squeezed (maybe more check for flavor. This is the most important ingredient), naan, rice","(1) soak lentils for like 15 mintes, then rinse off; Mix Spices; Dilute tomato paste with water; mix onion, serranos, ginger and garlic in food processor, or i found if you have an immersion blended its best to roughly chop the onions then saute them before blending them. (2) Heat pan/pot (ideally non-stick) to medium, add 3-4Tbsp oil, and add onion-serrano-ginger-garlic mix, let cook for ~10 minutes (You want it to almost caramelize). (3) Take off the heat and add the spice mix and stir constantly for 30 seconds. (4) Turn heat to medium high and add diluted tomato mix and cook for a few minutes. And add lentils and 2 cups of water, add more if needed. Then let simmer for 35 minutes with a lid for the first 25, stiring every once in a while. (5) turn heat to medium/medium low and add coconut milk and lemon and let simmer for 10+ minutes.",https://glebekitchen.com/indian-restaurant-madras-curry/,"Rice, Naan",2,"spicy:hot,favorite,veggie",,,,,,,,,,,,,,,,,,
Tofu Banh Mi,Main,2,"1 Thing of Firm Tofu frozen thaw, 1 large Baguette, Spicy Mayo, Cilatro, 1 Large Carrot, 1 Cucumber, 1 Jalapeno, 1/3-1/2 cup Rice Vinegar, 1tbps Olive Oil, 2-4tbps Tamari (More does equal better here), 1 lime (1/2 squeezed and zest), 1-3 cloves Garlic, Ginger, ground black pepper, corn starch","(1) See reference recipe (2) For tofu i pressed, then ripped into pieces, and then let sit in the tofu sauce mixture for 5-10 minutes. Then I cooked at medium-medium high with added corn starch until nice a crispy",https://www.loveandlemons.com/banh-mi/,,,"veggie"
